season,game_id,game_date,home_team,away_team,home_goals,away_goals,home_shots,away_shots,status,venue,updated_at
2026-27,RC-1001,2026-09-04,Rivergate Comets,Northfield Foxes,2,1,24,21,final,Rivergate Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1002,2026-09-04,Northfield Foxes,Millpond Owls,2,3,25,24,final,Northfield Ice Hall,2026-09-19T10:00:00Z
2026-27,RC-1003,2026-09-04,M. Owls,Maplebridge Meteors,2,0,26,27,final,Millpond Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1004,2026-09-05,Maplebridge Meteors,Stonehaven Sparks,5,2,27,30,final,Maplebridge Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1005,2026-09-05,Stonehaven Sparks,Cedarvale Drift,2,4,28,35,final,Stonehaven Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1006,2026-09-05,Cedarvale Drift,Rivergate Comets,5,1,29,22,final,Cedarvale Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1007,2026-09-06,  Rivergate   Comets  ,Millpond Owls,2,3,30,25,final,Rivergate Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1009,2026-09-06,Millpond Owls,Stonehaven Sparks,2,2,32,31,final,Millpond Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1010,2026-09-07,Maplebridge Meteors,Cedarvale Drift,5,4,33,34,FINAL,Maplebridge Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1011,2026-09-07,Stonehaven Sparks,Rivergate Comets,2,1,NaN,23,final,Stonehaven Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1012,2026-09-07,Cedarvale Drift,Northfield Foxes,5,3,35,26,final,Cedarvale Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1013,2026-09-08,Rivergate C.,Maplebridge Meteors,2,0,24,29,final,Rivergate Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1014,2026-09-08,Northfield Foxes,Stonehaven Sparks,5,2,25,32,final,Northfield Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1015,2026-09-08,Millpond Owls,Cedarvale Drift,2,4,26,21,final,Millpond Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1016,2026-09-09,Maplebridge Meteors,Rivergate Comets,5,1,27,24,final,Maplebridge Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1017,2026-09-09,Stonehaven Sparks,Northfield Foxes,2,3,1,27,final,Stonehaven Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1018,2026-09-09,Cedarvale Drift,Millpond Owls,5,0,29,30,final,Cedarvale Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1019,2026-09-10,Rivergate Comets,Stonehaven Sparks,2,2,30,33,final,Rivergate Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1020,2026-09-10,Northfield Foxes,Northfield Foxes,5,4,31,22,final,Northfield Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1021,2026-09-10,Millpond Owls,Rivergate Comets,2,1,32,25,final,Millpond Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1022,2026-09-11,Maplebridge Meteors,Northfield Foxes,5,3,33,28,final,Maplebridge Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1023,2026-09-06,Northfield Foxes,Maplebridge Meteors,2,0,34,31,final,Northfield Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1024,2026-09-11,Cedarvale Drift,Maplebridge Meteors,,,,,scheduled,Cedarvale Ice Hall,2026-09-18T18:05:00Z
2026-27,RC-1012,2026-09-07,Cedarvale Drift,Northfield Foxes,5,3,35,26,final,Cedarvale Ice Hall,2026-09-18T18:05:00Z
